"name","unp","instrument_uuid","ticker","share_kind"
"ЗАО ""БЕЛАВТОРЕСУРС""","101314620","f11be8ed","T5520-S0001","common"
"ЗАО ""БЕЛАГРОИНТОРГ""","100071233","76255fd6","T5134-S0001","common"
"ЗАО ""Белагро-недвижимость""","191737238","7391d83b","T4241-S0001","common"
"ЗАО ""Белагро птицефабрика""","193315949","c9a318da","T6412-S0001","common"
"ЗАО ""Бел Альта Берклей""","193325397","859cccc8","T6411-S0001","common"
"ЗАО ""БЕЛАМАДОР""","100711284","f25cb37e","T2567-S0001","common"
"ЗАО ""Беламиногрупп""","192618138","36eac09e","T5462-S0001","common"
"ЗАО ""БЕЛАПАН""","100024381","c67f5b1a","T5135-S0001","common"
"ЗАО ""БЕЛАРИНТЕРПРОЕКТ""","101097444","713b56e5","T5785-S0001","common"
"ЗАО ""БЕЛАСЕПТИКА""","100917107","13f19c07","T6445-S0001","common"
"ЗАО ""БелБанкротАукцион""","193417684","799434d6","T6511-S0001","common"
"ЗАО ""БелБергхофф""","191084283","c1987814","T5278-S0001","common"
"ЗАО ""БЕЛБИЗНЕСЛИЗИНГ""","100646748","ef182324","T3683-S0001","common"
"ЗАО ""Белвест Ритейл Москва""","391815189","fd8cdae7","T6075-S0001","common"
"ЗАО ""БелВнедрение""","192429799","eb4d6174","T5171-S0001","common"
"ЗАО ""БЕЛВНЕШИНВЕСТ""","100736767","7afd8dfc","T5528-S0001","common"
"ЗАО ""Белвнешпродсервис""","192004510","a633ea96","T4601-S0001","common"
"ЗАО ""БЕЛГАЗЗАПЧАСТЬ""","690022123","12e35bd3","T5984-S0001","common"
"ЗАО ""Белгазмонтаж""","400226450","65a4dd17","T5677-S0001","common"
"ЗАО ""БЕЛГИДРОХИМРЕСУРС""","101293240","3588753c","T5918-S0001","common"
"ЗАО ""Белглорд""","291252068","d39645bb","T5428-S0001","common"
"ЗАО ""БелгранМет""","691337784","c5f8aebc","T5425-S0001","common"
"ЗАО ""БелДрагмет""","691726336","ea6c9ebb","T6142-S0001","common"
"ЗАО ""БелДубТрейд""","693150999","4e5b381f","-S0001","common"
"ЗАО ""БелжилпроектПромстрой""","690784286","2a733817","T3747-S0001","common"
"ЗАО ""БелИнСофт""","193182132","3cddcaaf","T6293-S0001","common"
"ЗАО ""БелИнФильм""","191685318","e0b8761f","T3873-S0001","common"
"ЗАО ""БЕЛКП-ПРЕСС""","100742707","173985d7","T4215-S0001","common"
"ЗАО ""БеллаПак""","690841456","135a130f","T5249-S0001","common"
"ЗАО ""Беллестехмонтаж""","200167193","ea640eaa","T5430-S0002","common"
"ЗАО ""Бел Медиа Союз""","190883482","9c642359","T4485-S0001","common"
"ЗАО ""Белмедпоставка""","190867933","fdf4fab5","T2549-S0001","common"
"ЗАО ""БЕЛМЕДТЕХЦЕНТР""","191754602","92f62b20","T4229-S0001","common"
"ЗАО ""Белмонтажхимзащита""","400062556","3d8b1e83","T3900-S0001","common"
"ЗАО ""БЕЛНАСОСПРОМ""","101149627","1783c9f9","T5784-S0001","common"
"ЗАО ""БелНерудТрейд""","691779732","d89f46ac","T5322-S0001","common"
"ЗАО ""БелНовация""","691292193","4ad23032","T5009-S0001","common"
"ЗАО ""Белоблстрой""","190715829","833b4c22","T5349-S0001","common"
"ЗАО ""Беловежа Биогаз""","690664710","b729a67e","T5749-S0001","common"
"ЗАО ""Белорусская нефтяная компания""","190832326","26fe9edc","T3004-S0001","common"
"ЗАО ""БЕЛОРУССКИЙ СПУТНИК""","100072811","30210566","T4188-S0005","common"
"ЗАО ""БЕЛПЛАСТХИМ""","810000931","1cdd7cf0","T4975-S0001","common"
"ЗАО ""БЕЛПОЖСТРОЙ""","391059573","c8f42e55","T4387-S0001","common"
"ЗАО ""БЕЛПРОДУКТ""","600523662","0f2d0c09","T5675-S0001","common"
"ЗАО ""БЕЛПРОЕКТСТАЛЬКОНСТРУКЦИЯ""","100135160","a6391d6b","T5497-S0001","common"
"ЗАО ""Белпромкровля""","590886992","e061abfc","T2874-S0001","common"
"ЗАО ""Белпромприбор""","101036605","19d6e45f","T5550-S0001","common"
"ЗАО ""БЕЛПРОМПРИБОР-Х""","101365322","f0b33c54","T5076-S0003","common"
