"name","unp","instrument_uuid","ticker","share_kind"
"ЗАО ""МИНСКИЙ ДОМ""","100073011","e7537139","T5656-S0001","common"
"ЗАО ""МИНСКИЙ ЗАВОД ВИНОГРАДНЫХ ВИН""","190130976","4a271b06","T3013-S0001","common"
"ЗАО ""МИНСКИЙ ЗАВОД ВИНОГРАДНЫХ ВИН""","190130976","0df72b97","T3013-S0002P","preferred"
"ЗАО ""МИНСКИЙ ИНСТРУМЕНТАЛЬНЫЙ ЗАВОД""","100287101","efa2ffc3","T6041-S0001","common"
"ЗАО ""МИНСКТЕРМОИЗОЛЯЦИЯ""","100067931","5a088079","T2944-S0001","common"
"ЗАО ""МИНСКЭКСПО""","100094846","c5530451","T3973-S0001","common"
"ЗАО ""МиРаДост""","192039296","93ba7c45","T4678-S0001","common"
"ЗАО ""Мир Биогаз""","690664723","f465d85a","T5761-S0001","common"
"ЗАО ""МИР ТЕХНОЛОГИЙ""","101340342","c278d521","T5591-S0001","common"
"ЗАО ""МИСОИНЖЕНЕРИНГ""","101205382","78622387","T5548-S0001","common"
"ЗАО ""МИСОФТ НВП""","100953203","c1a40509","T5649-S0001","common"
"ЗАО ""МИХАЭЛЛА""","101188842","c60092c6","T4505-S0001","common"
"ЗАО ""МНБ капитал групп""","291404340","7d1efbbc","T5276-S0001","common"
"ЗАО ""Могилевский КСИ""","700008113","d3293787","T4507-S0001","common"
"ЗАО ""МОДИС-М""","100165842","1237aa1f","T2821-S0001","common"
"ЗАО ""Модус Проджектс""","690657363","31f37b0d","T4506-S0001","common"
"ЗАО ""МОЛОДЕЧНОМЕБЕЛЬ""","600203065","aa77d81e","T2751-S0001","common"
"ЗАО ""МОНТАЖСПЕЦКОМПЛЕКТ""","100020493","f3b8d8b4","T0301-S0002","common"
"ЗАО ""МОРТЕКС БЦЗ""","101186296","a96e9242","T2965-S0001","common"
"ЗАО ""МСП Технолоджи Центр""","190605569","d1d3a36a","T5802-S0001","common"
"ЗАО ""МСУ N217""","100262494","b1b84f18","T4151-S0001","common"
"ЗАО ""МТБанк""","100394906","5c31728f","MTBB-S0001","common"
"ЗАО ""МТФорекс""","191300397","883e57f3","T2732-S0001","common"
"ЗАО ""Мудрый зуб""","591036387","a4b9cc58","T6569-S0001","common"
"ЗАО ""М-Факториал""","190681078","7dba4e79","T4673-S0001","common"
"ЗАО ""Мюсли Лэнд""","192958741","aa5a5acb","-S0001","common"
"ЗАО ""Мясо-молочная компания""","191112931","09894cf4","T5500-S0001","common"
"ЗАО ""Надёжные оконные системы""","691593050","982dbc50","T6276-S0001","common"
"ЗАО ""Научно-производственная компания ""Нефтеспецсервис""","490865452","85624018","T3874-S0001","common"
"ЗАО ""НАУЧСОФТ""","101132899","efc8ae77","T5137-S0003","common"
"ЗАО ""НАША ПОЧТА""","192427530","30f43079","T5138-S0001","common"
"ЗАО ""Недраинвест""","100670071","8e1f2af1","T3896-S0001","common"
"ЗАО ""Нектар""","500030406","37bf05e5","T5976-S0003","common"
"ЗАО ""Нео Банк Азия""","807000071","df14f84a","Neo-S0001","common"
"ЗАО ""НеоПарк""","191438026","6f5d9cce","T3137-S0001","common"
"ЗАО ""НЕСВИЖСКОЕ АГРОПРОМЭНЕРГО""","600031399","daf1b757","T5791-S0001","common"
"ЗАО ""Нестерка""","200201848","241ff8ad","T1020-S0001","common"
"ЗАО ""Нефтегазсистема""","400287578","f6511aaa","T4338-S0001","common"
"ЗАО ""НИВА""","700210620","af446b95","T4460-S0002","common"
"ЗАО ""НИВА""","700210620","515d6955","T4460-S0003P","preferred"
"ЗАО ""Нилспром""","192235661","752aa6df","T5097-S0001","common"
"ЗАО ""ННК""","193402282","aebaaef5","T6472-S0001","common"
"ЗАО ""Нова-Колор""","690392520","02418ec4","T5183-S0001","common"
"ЗАО ""Новатех Системы Безопасности""","190543080","58f84263","T2675-S0001","common"
"ЗАО ""Новая веска""","600047623","3cbfab76","T4974-S0001","common"
"ЗАО ""Новое стекло""","101180535","1c3f8dcd","T2260-S0002","common"
"ЗАО ""НОВОИНТЕХ""","193417549","9978baa3","T6505-S0001","common"
"ЗАО ""НОМАРИ ЛЕРНИНГ""","193222285","9056523d","T6368-S0001","common"
"ЗАО ""НОМАРИ ПРОДАКШН""","192705530","cda26bc2","T6367-S0001","common"
"ЗАО ""Нордлис""","101201387","9a3dc57b","T5254-S0003","common"
"ЗАО ""Нотамедиа групп""","193231211","e53c8fe6","T6360-S0001","common"
"ЗАО ""НПК""","101148434","11dac4e2","T6071-S0001","common"
"ЗАО ""НПМЕД""","391780674","bacbf32e","-S0001","common"
"ЗАО НПО ""Вектор""","500043596","74eeb599","T5489-S0001","common"
"ЗАО ""НПП РЕГУЛА""","190133299","dcfdfaf1","T3707-S0001","common"
"ЗАО НПЦ ""Белсистемтехнологии""","300272935","c2a0f025","T5533-S0001","common"
"ЗАО ""НПЦ ЭКСАН-М""","190410052","0ed5f62a","T4793-S0001","common"
"ЗАО ""НТЦ КОНТАКТ""","100037461","0ff2115d","T5411-S0001","common"
"ЗАО ""Нумибус""","790782052","8f6d8e55","T4618-S0001","common"
"ЗАО ""Облрапсагросервис""","691151549","33d05aa9","T2676-S0001","common"
"ЗАО ""Облсемсервис""","191096022","d76038ab","T5169-S0001","common"
"ЗАО ""Объединенная аптечная сеть""","191187699","2461deea","T4192-S0001","common"
"ЗАО ""ОБЪЕДИНЕННАЯ СВАРОЧНАЯ КОМПАНИЯ""","190546355","9cfa7679","T4496-S0001","common"
"ЗАО ""ОБЪЕДИНЕННЫЕ ТЕХНОЛОГИИ""","100843354","43d68b28","T6141-S0003","common"
"ЗАО ""ОЕМ Групп""","192319245","7a9d4b57","T4979-S0001","common"
"ЗАО ""ОЕМ Оригинальные Компоненты""","192535987","14d614a8","T5280-S0001","common"
"ЗАО ""ОЗТМ""","791053861","6bfbdc5a","T5929-S0001","common"
"ЗАО ""ОКСНА""","500085925","b0a56de1","T4686-S0001","common"
"ЗАО ""ОКТА""","600194090","e08c1d0e","T5998-S0001","common"
"ЗАО ""ОКТАН"", г.Солигорск","600413106","bdf4dc7b","T5562-S0001","common"
"ЗАО ""ОктябрьГАЗавтосервис""","400237908","ec0292ef","T5707-S0001","common"
"ЗАО ""ОПИКА""","600199222","580b519e","T5633-S0001","common"
"ЗАО ОПТФ ""Світанак""","300051628","10bb358d","T3810-S0001","common"
"ЗАО ""Органик фарминг Бел""","490986907","de4e2ca9","T6534-S0001","common"
"ЗАО ""ОРГСТРОЙ""","100029434","b0a8d152","T0645-S0001","common"
"ЗАО ""ОРЕЙТОН""","100232261","edfdad23","T9170-S0001","common"
"ЗАО ""Оршанский Дом торговли""","300053500","fff8febe","T5461-S0001","common"
"ЗАО ""Особый труд""","490565469","e8b1c754","T5997-S0001","common"
"ЗАО ""ОСРК""","191362097","a72eab69","T3100-S0001","common"
"ЗАО ""Остхим""","690635091","ae7a2eea","T5120-S0001","common"
"ЗАО ""Отделочник-198"" г. Молодечно","600205188","8500f365","T1777-S0002","common"
"ЗАО ""ОФИСНЫЕ ТЕХНОЛОГИИ""","100958353","9c373eda","T5495-S0001","common"
"ЗАО ""Офис Рент""","190656299","8373f4dc","T3036-S0001","common"
"ЗАО ""ОФИСЦЕНТРПЛЮС""","190496680","0a03d20f","T6067-S0001","common"
"ЗАО ""ОФФИЦИНА""","100512846","4f59ca2f","T5510-S0001","common"
"ЗАО ""ПАН МАРКЕТ""","690356649","edb1ee57","T5435-S0001","common"
"ЗАО ""ПАРАД""","100926738","34d7b77e","T5966-S0001","common"
"ЗАО ""Парохонское Биогаз""","690658211","5247557f","T5296-S0001","common"
"ЗАО ""Партнер и К""","400292869","079280ab","T5102-S0006","common"
"ЗАО ""ПАТИО""","100183195","c2206b0c","T5088-S0001","common"
"ЗАО ""Пина-Лада""","200079825","5cd0922b","T2681-S0003","common"
"ЗАО ""Пинанасоспром""","291052133","0923a360","T4249-S0001","common"
"ЗАО ""ПинскГАЗавтосервис""","200351990","b0a12e57","T5881-S0001","common"
"ЗАО ""Пищевой комбинат ""Феникс""","192319656","7b4e6b8e","T4965-S0001","common"
"ЗАО ""ПЛАВАРБ""","101008033","4cecfbbf","T6207-S0001","common"
"ЗАО ""ПЛАНЕТА""","100089277","bed434f0","T4934-S0001","common"
"ЗАО ""ПМК-228""","600045687","9e3bf072","T6113-S0001","common"
"ЗАО ""ПМК-55""","691396416","f0b34f4a","T6531-S0001","common"
"ЗАО ""Пожарные системы""","191751379","d927ca20","T4172-S0001","common"
"ЗАО ""Пожтехкомплект""","790640718","44b3211f","T6037-S0001","common"
"ЗАО ""Пожтехника""","300376711","2133dbb3","T5690-S0005","common"
"ЗАО ""Пожтехника""","300376711","20941844","T5690-S0006P","preferred"
"ЗАО ""ПожЭнергоСервис""","490868954","15377b3b","T4159-S0001","common"
"ЗАО ""ПОЛИТОРГКОНСАЛТ""","690026080","592513e5","T5893-S0001","common"
"ЗАО ""Пол мира""","190774599","34d32afa","T4831-S0001","common"
"ЗАО ""ПоставыЭнерго""","300077459","00162ede","T4912-S0001","common"
"ЗАО ""ПОСТТОРГ""","100036531","dcc0864f","T0649-S0002","common"
"ЗАО ""ППСк""","700375006","902ffdd1","T2702-S0001","common"
"ЗАО ""ППТ ""Факел""","300029636","4d58169d","T5096-S0001","common"
"ЗАО ""ПРАЙМИНВЕСТ""","190157762","cebdc97f","T5189-S0001","common"
"ЗАО ""Прайминвест Плюс""","192501547","b393493f","T5237-S0001","common"
"ЗАО ""ПРЕМИЯАГРО""","101241501","13dc0f68","T5140-S0001","common"
"ЗАО ""Прогресс""","700044370","0e4559b5","T2783-S0001","common"
"ЗАО ""Прогрессэлектрострой""","191634417","3acccf82","T4310-S0001","common"
"ЗАО ""ПРОДВИЛЬНЮС""","100572293","862c4627","T5880-S0001","common"
"ЗАО ""ПРОДСЕРВИС""","100233717","b96da5ac","T3737-S0001","common"
"ЗАО ""Производственная Компания Эталон""","690274034","f36c8535","T5227-S0001","common"
"ЗАО ""Промвудэкспорт""","691618571","e9df4962","T5730-S0001","common"
"ЗАО ""ПРОМИД""","192672911","34808b32","T6042-S0001","common"
"ЗАО ""Проминвест""","200149894","06b55f4f","T5129-S0001","common"
"ЗАО ""Проммаш""","700364804","580f16e8","T5822-S0001","common"
"ЗАО ""ПромСегмент""","191147040","da285664","T2602-S0001","common"
"ЗАО ""Промснабсервис""","200167826","a89c09a6","T5631-S0001","common"
"ЗАО ""ПРОМСПЕЦМОНТАЖ""","190685285","91cea2d2","T4154-S0001","common"
"ЗАО ""Промтехноприбормонтаж""","691292734","32529fd9","T3064-S0001","common"
"ЗАО ""Промышленное Содружество""","191601121","400c33ef","T4149-S0001","common"
"ЗАО ""ПРОМЭНЕРГОМАШ""","101254676","8ce41f54","T5586-S0001","common"
"ЗАО ""Промэнергострой""","390184904","2c4a25f4","T6344-S0001","common"
"ЗАО ""ПРОМЭНЕРГОСТРОЙ""","100646299","268f1474","T5853-S0001","common"
"ЗАО ""ПроСветлВуд""","491268180","b526e81d","T6153-S0001","common"
"ЗАО ""Простор-Трейд""","191017264","ed096bd2","T5040-S0001","common"
"ЗАО ""ПРОФЕССИОНАЛЬНЫЕ СЕТЕВЫЕ СИСТЕМЫ""","190490917","083e34db","T5593-S0001","common"
"ЗАО ""Профессиональные управленческие решения""","692079798","9e0f7bb8","T6229-S0001","common"
"ЗАО ""ПС Автосервис Плюс""","193102684","28b532e2","T6228-S0001","common"
"ЗАО ""ПС-ЗАПЧАСТИ""","192408214","56eff310","T5104-S0001","common"
"ЗАО ""Птицефабрика ""Вишнёвка""","790118808","ac406aa3","T3856-S0001","common"
"ЗАО ""ПТИЧЬ""","600216847","810978c6","T5467-S0001","common"
"ЗАО ПТК ""Фаворит Д""","300326250","734431fd","T5101-S0001","common"
"ЗАО ""ПУХОВИЧСКИЙ АГРОПРОДУКТ""","600512317","0c70023c","T4548-S0001","common"
"ЗАО ""ПЯТЬ ОКЕАНОВ""","100644799","d1db6443","T5188-S0001","common"
"ЗАО ""Равиция""","192665602","f9792660","T5530-S0001","common"
"ЗАО ""РАЛИНТЕРСТРОЙ""","190617589","5f4cd7d2","T5208-S0001","common"
"ЗАО ""Раница-сервис""","600039772","be47a30b","T5711-S0001","common"
"ЗАО ""Рапсинторг""","591025350","a128e5f5","T6061-S0001","common"
"ЗАО ""Рапсовая компания""","291301504","e1817bd3","T5888-S0001","common"
"ЗАО ""Регион Био Девелопмент""","192019343","c2fbcd7b","T4706-S0001","common"
"ЗАО ""Редакция газеты ""Вечерний Гродно""","590000914","9832a939","T3154-S0001","common"
"ЗАО ""Редакция газеты ""Толока""","700007727","08622b4a","T5496-S0001","common"
"ЗАО ""Ремеза""","400046213","669a7615","T5567-S0001","common"
"ЗАО ""Ренвиа Биогаз""","690664777","9f0141b6","T5757-S0001","common"
"ЗАО ""Рентех""","691425083","7d8e70f1","T4521-S0001","common"
"ЗАО ""Речицкий завод полимерных труб""","490425200","f03c58b7","T5655-S0001","common"
"ЗАО ""РИГОНДА-КОММЕРС""","100071404","ae089db0","T3108-S0001","common"
"ЗАО ""Рикор""","300495796","33ae615e","T5112-S0001","common"
"ЗАО ""Ритейл Менеджмент""","693174653","8137909c","-S0001","common"
"ЗАО ""Ритейл Менеджмент ОС""","693174745","0b3a6b70","-S0001","common"
"ЗАО ""Ритейл Менеджмент ТВ""","693174758","a3f96f5d","-S0001","common"
"ЗАО ""РИТЭЙЛ КОНСАЛТ""","192244151","db8524b2","T4845-S0001","common"
"ЗАО ""РиэлтИстейт""","192052902","0d927f8e","T4664-S0001","common"
"ЗАО ""РМЗ ""МЕТРОМАШ""","100015784","4bfbfcf1","T3096-S0001","common"
"ЗАО ""РОВАЛЭНТСПЕЦМОНТАЖ""","190334916","937a5825","T4869-S0001","common"
"ЗАО ""Росаминотех""","192463320","b01f99e9","T5214-S0001","common"
"ЗАО ""Росдрагмет""","690570816","81280e7a","T2682-S0001","common"
"ЗАО ""РосМин""","191048225","88a4066c","T4473-S0001","common"
"ЗАО ""САВАНА-СПОРТ""","190346418","9c8ade97","T4857-S0001","common"
"ЗАО ""Савел-Групп""","690397706","2766a27a","T4634-S0001","common"
"ЗАО ""САГБЕЛ""","101129702","31ef1768","T4112-S0001","common"
"ЗАО ""САЛОН-ФАНТАЗИЯ""","100029355","430c3608","T5506-S0001","common"
"ЗАО ""Санвер""","491111074","5cbe7cd6","T5537-S0001","common"
"ЗАО ""САНДРИК""","100058288","efc2bb98","T5439-S0001","common"
"ЗАО ""Санитарная оборона""","692127919","1fa51d28","T6400-S0001","common"
"ЗАО ""САТУРН-1 г. Житковичи""","400044052","ad729877","T1306-S0001","common"
"ЗАО ""СБЛ-Лизинг""","100625018","6dd47bfe","T2913-S0001","common"
"ЗАО ""СВА-проект""","192467089","357a97b8","T5645-S0001","common"
"ЗАО ""Свинокомплекс ""Пуховичи""","691060592","6ec966fa","T2653-S0001","common"
"ЗАО ""СВЯЗКА ТЕХНОЛОГИЙ""","100811754","c4ebb8f9","T5523-S0001","common"
"ЗАО ""СД Девелопмент""","191087254","0b42e623","T4139-S0001","common"
"ЗАО ""СДЕЛАЙ САМ""","100364079","59acf927","T5177-S0004","common"
"ЗАО ""Северный Биогаз""","391003017","32bd28ff","T5297-S0001","common"
"ЗАО ""СеверстальБел""","101208338","4e56a8bc","T4141-S0001","common"
"ЗАО ""СЕВЗАПМОНТАЖАВТОМАТИКА""","100035905","5f79d744","T4117-S0002","common"
"ЗАО ""СЕВЗАПМОНТАЖАВТОМАТИКА""","100035905","66e7ef1c","T4117-S0003P","preferred"
"ЗАО ""Сезон охоты""","790490239","35f5ab83","T4319-S0001","common"
"ЗАО ""Секмес""","191922169","7082ad21","T4486-S0001","common"
"ЗАО ""СЕЛЕКТПРОМИНВЕСТ""","100839192","01ea1ce1","T6107-S0001","common"
"ЗАО ""Семейная стоматология ПЛАНТИС""","193403490","e4af6fac","T6473-S0001","common"
"ЗАО ""Сервер-Инвест""","490321360","d64d65b5","T5614-S0001","common"
"ЗАО ""Сервисзапчасть""","690580555","87c3a84b","T5983-S0001","common"
"ЗАО ""Сервисный центр ассоциации ""Гомельский собственник""","491329024","a515d923","T6102-S0001","common"
"ЗАО ""Сервисный центр ремонта медицинской техники""","191685200","77b6fdec","T4001-S0001","common"
"ЗАО ""Сервис тепло и хладооборудования""","191683249","efc44116","T3827-S0001","common"
"ЗАО ""Серволюкс Агро""","790863487","b6835303","T6096-S0001","common"
"ЗАО ""Серволюкс Технолоджис""","791233340","2ff06014","T6471-S0001","common"
"ЗАО ""Сильвер Технолоджи""","190638285","fa37d7f5","T5315-S0001","common"
"ЗАО ""Синерджи партнерс""","191440295","15a84687","T3480-S0001","common"
"ЗАО ""СИТБЕЛ""","100608743","b687d2a6","T4821-S0001","common"
"ЗАО ""СИФТРАНС ПЛЮС""","100424832","bcfc9bb5","T4293-S0001","common"
"ЗАО ""СИФУД-СЕРВИС""","190340662","9142703f","T6146-S0001","common"
"ЗАО ""СКАНВЕСТ""","100829693","c3eedc10","T5994-S0001","common"
"ЗАО ""Скарб""","390050816","52857034","T5218-S0001","common"
"ЗАО ""СК ""Белросстрах""","100782388","931dc4dc","T3666-S0005","common"
"ЗАО ""СКВИРЕЛ-СТРОЙ""","101132909","a0607132","T5559-S0001","common"
"ЗАО ""СК ""Евроинс""","100367422","66c4cf55","T2922-S0001","common"
"ЗАО ""СКИМЕН""","100800174","572a4dde","T6168-S0001","common"
"ЗАО ""СКОНТИ""","100181695","3b9ce809","T5226-S0001","common"
"ЗАО ""СКЭТМА""","190699001","287bf021","T2960-S0001","common"
"ЗАО ""Славинвестмонтаж""","490680359","e6f8c7ee","T2974-S0001","common"
"ЗАО ""Славянская технология""","400450339","8cec1123","T5626-S0001","common"
"ЗАО ""СЛИВКИ БАЙ""","100993744","858e32f6","T2624-S0001","common"
"ЗАО ""Слоновая кость""","291318618","78ba69c2","T4942-S0001","common"
"ЗАО ""СМАКОША""","591412839","191f4356","T4545-S0001","common"
"ЗАО ""Смолевичи Молоко""","690668083","9d6b3238","T6098-S0001","common"
"ЗАО ""СМУ-77""","100064641","369e5b20","T4246-S0001","common"
"ЗАО ""СМУ №7 г.Лида""","590062576","17b4b4a1","T2839-S0001","common"
"ЗАО ""Снежинка""","400071018","3f513663","T3725-S0001","common"
"ЗАО ""Совавто Инвест""","191445853","7146779c","T3674-S0001","common"
"ЗАО ""Совавто-Строй""","191638757","14a3c1d2","T4349-S0001","common"
"ЗАО ""Современные промышленные панели""","690673984","67171b90","T6377-S0001","common"
"ЗАО ""Современные Технологии Управления""","191029085","547b048d","T3559-S0001","common"
"ЗАО ""СОДАКО""","100130899","b3156497","T4592-S0001","common"
"ЗАО ""СОЛАРЛИЗИНГ""","190448630","a6087255","T4907-S0001","common"
"ЗАО ""СОЛАР ЛС""","101128058","2ee348bf","T4715-S0001","common"
"ЗАО ""Солигорский Институт проблем ресурсосбережения с Опытным производством""","600024102","921738e4","T6149-S0001","common"
"ЗАО ""СОЛИГОРСКПРОМПИЩЕТОРГ""","690302261","2670005b","T5163-S0001","common"
"ЗАО ""Сортамент Инвест""","191842777","0e6eebac","T4289-S0001","common"
"ЗАО ""Сортметинвест""","191825147","ddf90c30","T4314-S0001","common"
"ЗАО ""Софтгуру""","192346823","ee534b43","T4996-S0001","common"
"ЗАО ""СОЮЗ-216""","391745189","12a735f5","-S0001","common"
"ЗАО ""СОЮЗ-216""","391745189","36754e46","-S0002P","preferred"
"ЗАО ""СП АЭРОДОРСТРОЙ""","193426238","1ca9c727","T6562-S0001","common"
"ЗАО ""СПЕКТРОЛАБ""","190481156","84c0110b","T2532-S0001","common"
"ЗАО ""СПЕКТРОСКОПИЧЕСКИЕ СИСТЕМЫ""","101178705","59979a83","T4568-S0001","common"
"ЗАО ""СПЕКТРОСКОПИЯ,ОПТИКА И ЛАЗЕРЫ-АВАНГАРДНЫЕ РАЗРАБОТКИ""","100424659","ec2785a4","T4952-S0001","common"
"ЗАО ""СПЕКТР ТРАСТ""","391763718","7bc3f77d","T6008-S0001","common"
"ЗАО ""Специальная финансовая организация ""Центр секьюритизации""","193351501","71732a7e","T6432-S0001","common"
"ЗАО ""Спецмонтажизол г. Новополоцк""","300568208","2ba624d5","T4166-S0001","common"
"ЗАО ""СПЕЦОРГСТРОЙ""","101083937","a51874dc","T5015-S0001","common"
"ЗАО ""СПЕЦОСНАСТКА""","700119676","bc099bba","T5799-S0001","common"
"ЗАО ""СпецСантехСтрой""","101472318","27c78e79","T5855-S0001","common"
"ЗАО ""СПМК-85""","600012917","acfb6574","T1629-S0001","common"
"ЗАО СП ""МХЗ""","700210051","0f9c289c","T5419-S0002","common"
"ЗАО СП ""МХЗ""","700210051","8e238218","T5419-S0003P","preferred"
"ЗАО ""СПОРТМЕДСИСТЕМС""","101482164","f2647895","T6266-S0001","common"
"ЗАО ""Спорт-пари""","190863938","4ea03b91","T5114-S0001","common"
"ЗАО ""СПОРТЭДЖ""","101160572","7b0de610","T2742-S0001","common"
"ЗАО ""СТАНТЭКС""","100975304","cbc4216f","T5477-S0001","common"
"ЗАО ""СТАРС""","190070618","337d0ee5","T5658-S0001","common"
"ЗАО ""Стеклолюкс""","600496990","3135b66b","T4290-S0001","common"
"ЗАО ""СТОДЕД""","690027286","323d010f","T4002-S0001","common"
"ЗАО ""СТОЛИЧНОЕ ТЕЛЕВИДЕНИЕ""","190157826","95cc7035","T2786-S0006","common"
"ЗАО ""Стратегия и Банкротство""","193108866","315eca2b","T6233-S0001","common"
"ЗАО ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ N 30""","600040710","69477668","T5546-S0001","common"
"ЗАО ""Строительно-торговая компания СТРОЙИНВЕСТ""","200646267","8195b82b","T5173-S0001","common"
"ЗАО ""СТРОИТЕЛЬНЫЙ ТРЕСТ № 11""","691806312","f7bcc73c","T5971-S0001","common"
"ЗАО ""СТРОЙИЗЫСКАНИЯ""","190419565","20d32c61","T3862-S0001","common"
"ЗАО ""Стройкомплект""","300592764","d7da43f4","T5667-S0001","common"
"ЗАО ""Строймонтажхимзащита""","591003155","b8d4ddb3","T5181-S0001","common"
"ЗАО ""СТРОЙПОЛИМЕР""","100925241","126c8fc0","T4991-S0004","common"
"ЗАО ""Стройпроектинвест""","700050920","be277c65","T6353-S0002","common"
"ЗАО ""Стройпроектинвест""","700050920","9b8e3659","T6353-S0003P","preferred"
"ЗАО ""СТРОЙСАНТЕХНИКА""","100863054","0fa27693","T5857-S0003","common"
"ЗАО ""СТРОЙФИНАНС""","100843446","47673fa0","T2955-S0001","common"
"ЗАО ""СТРУМ""","600182902","c148bae9","T2762-S0001","common"
"ЗАО ""Струнные технологии""","192425076","6d827c45","T5136-S0001","common"
"ЗАО ""Стрэком""","192592751","97de3156","T5379-S0001","common"
"ЗАО ""СУ 117""","101268367","62de5e5e","T5131-S0001","common"
"ЗАО ""СУ-15""","600009195","45ea0891","T5670-S0001","common"
"ЗАО ""СУ-161""","600039014","3ee6b140","T5141-S0001","common"
"ЗАО ""СФО ""Агентство по реструктуризации обязательств и секьюритизации активов""","193307513","49871fd4","T6421-S0001","common"
"ЗАО ""СЦ Супрамастер""","193693671","a2fbe18c","T4159-S001","common"
"ЗАО ""Сэлмон-Графикс""","100843219","ba9c55cf","T4604-S0001","common"
"ЗАО ""ТАВРИДА ЭЛЕКТРИК БП""","101128734","c6087459","T6309-S0001","common"
"ЗАО ""Танис""","400518274","eddb63c3","T4341-S0001","common"
"ЗАО ""ТАХАТ-СЕРВИС""","101317007","20012853","T5596-S0001","common"
"ЗАО ""ТАЯМНИЦА""","100121561","1b72591a","T2709-S0001","common"
"ЗАО ТД ""Славянский рынок""","700306890","9c8f56b7","T5634-S0001","common"
"ЗАО ""ТД ""ШагоВита""","191296115","7c302ca9","T2605-S0001","common"
"ЗАО ""ТекСи""","190564805","8b098678","T3775-S0001","common"
"ЗАО ""ТекХайф""","193443020","b69d38a4","T6519-S0001","common"
"ЗАО ""ТЕЛЕКОМ""","100105721","088b6a06","T4679-S0001","common"
"ЗАО ""ТЕЛЕКОММОНТАЖ-СЕРВИС""","101209944","637f86f6","T3883-S0001","common"
"ЗАО ""Теплицмонтаж""","200050400","2e86b25c","T0924-S0003","common"
"ЗАО ""ТЕПЛО ПОТОК""","190586975","3565846e","T6114-S0001","common"
"ЗАО ""Термикс""","400236118","baf79534","T5696-S0001","common"
"ЗАО ""Терминал""","400413662","1178e7aa","T4351-S0001","common"
"ЗАО ""Термоимпульс""","191628211","0f5bfd4a","T4165-S0001","common"
"ЗАО ""Терравольт Витебск""","690673558","35d457f9","T6340-S0001","common"
"ЗАО ""Терравольт Могилев""","690673560","8b13c404","T6342-S0001","common"
"ЗАО ""Терравольт Несвиж""","690673545","5e94432e","T6341-S0001","common"
"ЗАО ""Территория Эдельвейс""","192359439","72cf575d","T5420-S0001","common"
"ЗАО ""Теста""","500048159","4b745e1e","T3687-S0001","common"
"ЗАО ""ТЕХМАШ-ЭЛЕКТРО""","101381849","c8d3a471","T5615-S0001","common"
"ЗАО ""Технический центр обеспечения промышленной и гражданской безопасности ""НИЛПРОМЭКСПЕРТ""","193105721","915a5a17","T6319-S0001","common"
"ЗАО ""Технопромстрой""","690013937","257d6207","T5583-S0001","common"
"ЗАО ""ТЕХНОЦЕНТР""","100879174","ab23fdb5","T4322-S0001","common"
"ЗАО ""ТЕХНОЦЕНТР ПЛЮС""","101295470","e87a6be7","T2517-S0001","common"
"ЗАО ""ТЕХНОШАНС""","101103795","5e2a5109","T6000-S0002","common"
"ЗАО ""ТЕХНОШАНС""","101103795","f34797e5","T6000-S0003P","preferred"
"ЗАО ""ТЕХЭКОПРОМСИСТЕМА""","693153852","4b549748","T6539-S0001","common"
"ЗАО ""ТехЭнергоАльянс""","391135687","0b8b0224","T2665-S0001","common"
"ЗАО ""Тивали-К""","100055064","42c510ac","T3016-S0001","common"
"ЗАО ""ТИМЕТ""","100020715","4ba28d6a","T2490-S0001","common"
"ЗАО ""ТИС""","700051161","a45780c2","T5733-S0001","common"
"ЗАО ""ТИСИ""","101087960","bc3e877a","T5851-S0001","common"
"ЗАО ""ТИС-Магмет ПО Белпромметалл""","700240639","669e5cd8","T5729-S0001","common"
"ЗАО ""Тонрекордс Медиа""","191510969","f88d41b2","T5210-S0001","common"
"ЗАО ""ТОРА""","100052476","fc1345b3","T5192-S0001","common"
"ЗАО ""Торговая Галерея""","490558665","11337dee","T2973-S0001","common"
"ЗАО ""ТОРГОВО-КОММЕРЧЕСКИЙ ДОМ ""ЮНИСПЕКТР""","101085891","a8ea4f12","T4177-S0001","common"
"ЗАО ""Торговый дом 1000 мелочей""","200019533","b553dccd","T0857-S0002","common"
"ЗАО ""Торговый дом 1000 мелочей""","200019533","5da247b2","T0857-S0003P","preferred"
"ЗАО ""Торговый дом ""Август""","192958514","193b7ad2","T6076-S0001","common"
"ЗАО ""Торговый дом Елизово""","101483556","9527eb3e","T3143-S0001","common"
"ЗАО ""Торговый дом""КерАмида""","290237268","2dbd2b53","T2733-S0001","common"
"ЗАО ""Торговый Дом ""ЛУКБЕЛОЙЛ""","100705221","ba18908c","T4087-S0001","common"
"ЗАО ""ТОРГОВЫЙ ДОМ ""ПАЛЕССЕ""","100088760","4199222d","T6270-S0001","common"
"ЗАО ""Торговый дом ""ТермоЩит""","690633946","258bf2b7","T5575-S0001","common"
"ЗАО ""ТоргСтройТревел""","390467508","8c317c92","T4195-S0001","common"
"ЗАО ""ТОСА""","700226263","d6d8bd50","T5552-S0001","common"
"ЗАО ""ТОСКАНА""","100428667","765ebf4d","T3840-S0003","common"
"ЗАО ""ТПМ""","700037352","64bef95a","T5436-S0004","common"
